dataset,SVC,RandomForest,DecisionTree,GradientBoosting
synthetic-control,0.9933333333333334,0.9833333333333334,0.9,0.9666666666666666
chess-krvkp,0.9846703834115805,0.9915527190923317,0.9956196205007825,0.9790365805946791
balance-scale,0.9040000000000001,0.8272,0.7712,0.8592000000000001
statlog-german-credit,0.763,0.775,0.675,0.7830000000000001
acute-nephritis,1.0,1.0,1.0,1.0
pittsburg-bridges-MATERIAL,0.8584415584415584,0.8398268398268398,0.8212121212121211,0.8307359307359308
musk-1,0.892828947368421,0.8970175438596492,0.7836184210526316,0.8886403508771931
cylinder-bands,0.7520654863887302,0.7910908052541405,0.7128878735960404,0.7734247096897011
low-res-spect,0.8832174776564052,0.8870194353809051,0.8154773726769755,0.8794580791601645
balloons,0.7499999999999999,0.8166666666666667,0.7666666666666666,0.7333333333333333
ionosphere,0.9401207243460764,0.9401609657947686,0.8889336016096578,0.9258752515090543
car,0.9704800201055542,0.980896372622937,0.980896372622937,0.988429253581302
oocytes_trisopterus_states_5b,0.9221941992433796,0.9112171981024441,0.8750255209271603,0.9145139013991473
breast-cancer-wisc-diag,0.9754075454122031,0.9543393882937432,0.9104021114733737,0.9508461419034312
pima,0.7603768780239368,0.7655801714625244,0.6978439860792802,0.7616925558102029
tic-tac-toe,0.9874727312390924,0.9895560645724257,0.9353294066317627,0.9791230366492147
pendigits,0.9949056172029556,0.9910847059690049,0.9552400152108185,0.9882644563808267
conn-bench-sonar-mines-rocks,0.8556329849012776,0.8274099883855982,0.7116144018583043,0.8176538908246226
flags,0.5208333333333334,0.6652848639455783,0.5521896258503401,0.6139455782312925
soybean,0.9400064405324173,0.9414126234435379,0.9136109918419922,0.9340918849291542
statlog-shuttle,0.9976724137931035,0.9998793103448275,0.9999310344827587,0.9992758620689657
molec-biol-splice,0.8658307210031347,0.9510971786833855,0.9031347962382446,0.9592476489028213
horse-colic,0.8450573861532765,0.8776008885597927,0.8396890040725656,0.847871158830063
heart-switzerland,0.35,0.36633333333333334,0.33366666666666667,0.36533333333333334
ozone,0.9712148037708304,0.9692424171830591,0.9534726428427216,0.9688494929258104
congressional-voting,0.6045977011494252,0.6022988505747126,0.6022988505747127,0.5977011494252874
mushroom,1.0,1.0,1.0,1.0
abalone,0.6626702575709824,0.6435203277655216,0.5719416669054236,0.6461513336962439
libras,0.8138888888888889,0.8138888888888889,0.6944444444444444,0.7249999999999999
statlog-image,0.9406926406926408,0.9787878787878788,0.9606060606060606,0.9779220779220779
magic,0.8673501577287066,0.8793901156677182,0.8194006309148264,0.8714511041009464
iris,0.9533333333333334,0.9466666666666667,0.9466666666666667,0.9533333333333335
credit-approval,0.8608695652173914,0.872463768115942,0.791304347826087,0.8521739130434783
spect,0.6792452830188679,0.6301886792452829,0.6037735849056604,0.6452830188679245
ilpd-indian-liver,0.715281461833186,0.7016357206012378,0.6432802829354554,0.699867374005305
cardiotocography-3clases,0.9087456503728252,0.9463750345208506,0.9134515327257663,0.948727975697321
ringnorm,0.9854054054054053,0.9594594594594594,0.8800000000000001,0.9697297297297297
bank,0.8958187063022539,0.8991365569843055,0.8615349826431331,0.897809123355987
primary-tumor,0.45151515151515154,0.4303030303030303,0.3545454545454546,0.4333333333333334
haberman-survival,0.7418297197250132,0.6893707033315705,0.6502908514013749,0.7024854574299313
page-blocks,0.9616321487899959,0.9738720960323224,0.9581571544247159,0.9720451111500672
post-operative,0.7,0.6444444444444444,0.5555555555555556,0.5888888888888888
plant-shape,0.48375,0.6475,0.425,0.44125000000000003
monks-1,0.85246138996139,0.9640604890604891,0.9117760617760616,0.9387709137709137
fertility,0.8800000000000001,0.86,0.8099999999999999,0.85
spectf,0.8466107617051012,0.8804332634521312,0.8015373864430468,0.8353598881900769
heart-hungarian,0.8095850379894799,0.8028053769725307,0.7211572180011689,0.8026884862653418
breast-cancer,0.7166364186327889,0.7166969147005444,0.6293405928614642,0.688747731397459
heart-va,0.345,0.355,0.36,0.335
energy-y1,0.8867158984806043,0.967447585094644,0.9726593667770139,0.977854171971819
statlog-australian-credit,0.663768115942029,0.6579710144927535,0.6072463768115942,0.6652173913043478
conn-bench-vowel-deterding,0.9747474747474747,0.9848484848484848,0.8848484848484848,0.9313131313131313
planning,0.7144144144144144,0.6591591591591591,0.5441441441441441,0.6542042042042041
annealing,0.7639230291744258,0.9554376163873372,0.9576846679081317,0.9632402234636871
lung-cancer,0.4333333333333333,0.49523809523809514,0.47142857142857136,0.5285714285714286
molec-biol-promoter,0.84025974025974,0.8679653679653679,0.7454545454545455,0.8580086580086579
