dataset,SVC,RandomForest,DecisionTree,GradientBoosting
synthetic-control,0.9933333333333334,0.9866666666666667,0.9133333333333333,0.9616666666666666
chess-krvkp,0.9806015258215961,0.9893608176838811,0.993741686228482,0.9780981025039124
balance-scale,0.9024000000000001,0.8336,0.7744,0.8720000000000001
statlog-german-credit,0.768,0.765,0.688,0.765
acute-nephritis,1.0,0.9833333333333332,0.9833333333333332,0.9833333333333332
pittsburg-bridges-MATERIAL,0.8584415584415584,0.8207792207792206,0.8212121212121211,0.8207792207792208
musk-1,0.8928508771929824,0.8823245614035088,0.7921052631578948,0.9033552631578947
cylinder-bands,0.761755187511898,0.792994479345136,0.7147915476870361,0.7909765848086807
low-res-spect,0.8813661512271245,0.8926443467158462,0.813548020995886,0.8700524897148532
balloons,0.6166666666666667,0.6833333333333333,0.6833333333333332,0.7499999999999999
ionosphere,0.9430181086519115,0.9258752515090544,0.9059959758551308,0.9288128772635815
car,0.9687459160593113,0.9809013990114769,0.9826438803719528,0.9890039373376895
oocytes_trisopterus_states_5b,0.9122920795051943,0.9133849756800576,0.8607097820212573,0.9090073860565664
breast-cancer-wisc-diag,0.9719298245614034,0.9578636857630803,0.9279770222015215,0.9649122807017545
pima,0.7695611577964518,0.7682115270350565,0.7095662507427213,0.7643323996265172
tic-tac-toe,0.9874563699825479,0.9916284904013961,0.9478294066317627,0.9801483420593368
pendigits,0.9943594180661985,0.9921761111531794,0.9577877445327327,0.9881729266466973
conn-bench-sonar-mines-rocks,0.8656213704994192,0.8264808362369338,0.710917537746806,0.8363530778164924
flags,0.4844812925170068,0.6962159863945578,0.577593537414966,0.6650722789115646
soybean,0.9400171747531129,0.9341562902533275,0.8975311292400171,0.9239051094890511
statlog-shuttle,0.9976379310344827,0.9998620689655173,0.9998275862068965,0.9997413793103448
molec-biol-splice,0.8579937304075236,0.9548589341692789,0.9021943573667712,0.9601880877742947
horse-colic,0.8422436134764902,0.8747871158830064,0.8503146982599038,0.8503517215845984
heart-switzerland,0.358,0.4066666666666666,0.3983333333333334,0.358
ozone,0.9712148037708304,0.9704274021960272,0.9522868812996009,0.9676652844429949
congressional-voting,0.6160919540229886,0.5977011494252873,0.6045977011494252,0.5977011494252873
mushroom,1.0,1.0,1.0,1.0
abalone,0.6653055611265508,0.6454353493969001,0.5745655101280692,0.6504629974500759
libras,0.8111111111111111,0.8527777777777779,0.6861111111111111,0.7
statlog-image,0.9428571428571428,0.9805194805194806,0.961038961038961,0.9792207792207792
magic,0.867665615141956,0.8794426919032597,0.8199263932702419,0.8721871713985279
iris,0.9533333333333334,0.9466666666666667,0.9399999999999998,0.9400000000000001
credit-approval,0.8536231884057971,0.8681159420289856,0.8173913043478261,0.872463768115942
spect,0.6943396226415094,0.6339622641509434,0.6377358490566036,0.6226415094339621
ilpd-indian-liver,0.7118479221927498,0.7049513704686119,0.6724580017683465,0.6963601532567051
cardiotocography-3clases,0.9082717481358742,0.9426169566418118,0.9186291079812208,0.9496713615023473
ringnorm,0.985,0.9586486486486485,0.8833783783783783,0.9713513513513513
bank,0.8960387229257322,0.9022326798024739,0.8599858211509315,0.897808389967242
primary-tumor,0.45757575757575764,0.45151515151515154,0.3575757575757576,0.4333333333333334
haberman-survival,0.7385510312004231,0.7057641459545214,0.6370174510840825,0.708937070333157
page-blocks,0.9596211798686067,0.9735076340019868,0.9625442221164843,0.9705844247994457
post-operative,0.7,0.6222222222222222,0.5666666666666667,0.5666666666666667
plant-shape,0.475,0.6325,0.43999999999999995,0.44562500000000005
monks-1,0.8669240669240669,0.955019305019305,0.9532818532818533,0.9765765765765766
fertility,0.8800000000000001,0.89,0.79,0.8300000000000001
spectf,0.8314465408805031,0.8650593990216631,0.812438853948288,0.8389238294898673
heart-hungarian,0.8133255406195208,0.7893045002922268,0.7618936294564582,0.789187609585038
breast-cancer,0.7308529945553539,0.7065335753176043,0.6120992135511192,0.720205686630369
heart-va,0.33999999999999997,0.395,0.34,0.33499999999999996
energy-y1,0.8853747559629912,0.9660724896019014,0.9647653000594177,0.9699685934980053
statlog-australian-credit,0.672463768115942,0.6507246376811594,0.5710144927536233,0.6695652173913043
conn-bench-vowel-deterding,0.9787878787878788,0.9868686868686869,0.901010101010101,0.9434343434343434
planning,0.71996996996997,0.6926426426426426,0.5995495495495495,0.6654654654654655
annealing,0.7616945996275606,0.959925512104283,0.9476598386095592,0.9587833643699565
lung-cancer,0.4666666666666666,0.6238095238095238,0.6190476190476191,0.4714285714285714
molec-biol-promoter,0.7913419913419913,0.8956709956709956,0.7268398268398268,0.8766233766233766
semeion,0.9516669624021608,0.9434967764831134,0.7451371226907987,0.9340904161984188
statlog-vehicle,0.7636477549599722,0.753003828750435,0.7068708666898711,0.7565193177862861
lymphography,0.777027027027027,0.7837837837837838,0.6283783783783784,0.7094594594594594
cardiotocography-10clases,0.8029185307925987,0.8772427506213752,0.8118829052747859,0.8668909141121238
pittsburg-bridges-T-OR-D,0.8628571428571428,0.8523809523809524,0.8142857142857143,0.8528571428571429
letter,0.9452999999999999,0.96355,0.8753499999999999,0.9169
echocardiogram,0.8239316239316239,0.8168091168091168,0.7635327635327634,0.7786324786324788
statlog-landsat,0.8965034965034965,0.9135975135975137,0.8472416472416473,0.9047397047397048
wine,0.9828571428571429,0.9719047619047618,0.9160317460317462,0.9552380952380952
oocytes_trisopterus_nucleus_2f,0.8091935387017355,0.8146580195760522,0.7411757641265838,0.8102624151804478
audiology-std,0.596938775510204,0.7551020408163265,0.7295918367346939,0.7346938775510204
blood,0.7807785234899328,0.7420223713646533,0.7098791946308725,0.762049217002237
hill-valley,0.5140631908308676,0.5445906880250314,0.5346495255586164,0.5322178009046695
statlog-heart,0.8222222222222222,0.8296296296296296,0.7481481481481482,0.8111111111111111
oocytes_merluccius_states_2f,0.9168197034911525,0.9246341463414633,0.8766571018651362,0.9187900526064083
musk-2,0.9692335791577641,0.9763566292186459,0.9681723987410115,0.9633219610816275
contrac,0.5418009915830739,0.5159829355471002,0.47319036089011873,0.5499365848034129
pittsburg-bridges-TYPE,0.5523809523809524,0.5333333333333333,0.5047619047619047,0.5333333333333334
glass,0.7008859357696566,0.7898117386489479,0.6724252491694351,0.7615725359911407
pittsburg-bridges-SPAN,0.6853801169590643,0.6631578947368421,0.5871345029239766,0.6099415204678362
breast-cancer-wisc-prog,0.7779487179487179,0.7776923076923078,0.6664102564102563,0.7928205128205128
spambase,0.9332750318651749,0.9526186092621443,0.9115418023887079,0.944794174573951
optical,0.9861209964412812,0.9818505338078293,0.9003558718861211,0.9758007117437723
chess-krvk,0.5467633198864922,0.8225333968138393,0.8400695774629637,0.5663670587494044
breast-tissue,0.5926406926406926,0.7069264069264068,0.6883116883116883,0.6692640692640692
zoo,0.9603846153846154,0.9703846153846154,0.9603846153846154,0.9803846153846154
seeds,0.9285714285714286,0.9428571428571428,0.9142857142857143,0.9428571428571428
wall-following,0.8832490607467692,0.9946854550887549,0.9956015417518624,0.9974340508254349
parkinsons,0.8871794871794872,0.8923076923076924,0.8666666666666668,0.8717948717948717
miniboone,0.8928373559704019,0.9355778545035907,0.8926451526599516,0.928804256124342
teaching,0.5419354838709677,0.6952688172043011,0.6688172043010752,0.6419354838709678
ecoli,0.8809523809523809,0.8452380952380952,0.7827380952380952,0.8273809523809523
mammographic,0.8210276338514682,0.8022884283246977,0.7638115284974093,0.8251781088082902
vertebral-column-2clases,0.8483870967741934,0.832258064516129,0.8129032258064516,0.832258064516129
titanic,0.7832725211296641,0.7905452484023913,0.7905452484023913,0.7905452484023913
twonorm,0.9772972972972973,0.970945945945946,0.845,0.9701351351351353
plant-texture,0.8255074451410659,0.8242711598746082,0.5040869905956114,0.6022472570532915
wine-quality-white,0.5735006566467241,0.6812997435950887,0.6073955097871631,0.5961620562423131
breast-cancer-wisc,0.9642548818088386,0.96568345323741,0.9442548818088387,0.9628263103802672
steel-plates,0.760944001272096,0.7825736093075026,0.7192192510534545,0.791340471205576
acute-inflammation,1.0,1.0,1.0,1.0
thyroid,0.95375,0.9954166666666667,0.9949999999999999,0.9956944444444444
monks-3,0.9512694512694513,0.9765274365274367,0.9692874692874692,0.9801310401310401
nursery,0.9743827160493828,0.9880401234567902,0.9893518518518518,0.9926697530864197
oocytes_merluccius_nucleus_4d,0.771009086561454,0.8023481587757054,0.6985939741750359,0.8033285509325682
energy-y2,0.8932009167303285,0.9193192428486547,0.9153722094898565,0.936236312706901
adult,0.8499036506611489,0.8560869307875144,0.8116375287989579,0.8662011528553653
arrhythmia,0.5707964601769911,0.7079646017699115,0.6194690265486726,0.7035398230088495
monks-2,0.6638980716253443,0.7621900826446282,0.8653443526170801,0.652314049586777
connect-4,0.8332223565045502,0.8728481362838402,0.8212028702880476,0.8192934246634291
waveform,0.8620000000000001,0.8532,0.7576,0.8505999999999998
heart-cleveland,0.5707103825136611,0.6004918032786886,0.48207650273224045,0.5808743169398907
image-segmentation,0.9419913419913419,0.9792207792207792,0.9614718614718614,0.9783549783549784
vertebral-column-3clases,0.8258064516129032,0.832258064516129,0.8064516129032258,0.8225806451612903
led-display,0.716,0.7110000000000001,0.712,0.712
yeast,0.5990672490672491,0.6064746564746565,0.508069433069433,0.6031190281190281
dermatology,0.9808959644576083,0.9808589411329137,0.9316179192891522,0.9644205849685301
lenses,0.75,0.875,0.875,0.8333333333333334
plant-margin,0.819375,0.8393749999999999,0.4575,0.534375
hepatitis,0.8258064516129032,0.8258064516129032,0.7870967741935484,0.8129032258064516
pittsburg-bridges-REL-L,0.6980952380952381,0.6890476190476191,0.6604761904761904,0.7195238095238096
waveform-noise,0.8622,0.8506,0.7427999999999999,0.8579999999999999
wine-quality-red,0.617257053291536,0.6854310344827585,0.6003879310344827,0.6522746865203762
hayes-roth,0.85,0.81875,0.81875,0.79375
