dataset,best_algorithm,best_score,is_SVC,is_RandomForest,is_DecisionTree,is_GradientBoosting
synthetic-control,SVC,0.9933333333333334,1,0,0,0
chess-krvkp,DecisionTree,0.993741686228482,0,0,1,0
balance-scale,SVC,0.9024000000000001,1,0,0,0
statlog-german-credit,SVC,0.768,1,0,0,0
acute-nephritis,SVC,1.0,1,0,0,0
pittsburg-bridges-MATERIAL,SVC,0.8584415584415584,1,0,0,0
musk-1,GradientBoosting,0.9033552631578947,0,0,0,1
cylinder-bands,RandomForest,0.792994479345136,0,1,0,0
low-res-spect,RandomForest,0.8926443467158462,0,1,0,0
balloons,GradientBoosting,0.7499999999999999,0,0,0,1
ionosphere,SVC,0.9430181086519115,1,0,0,0
car,GradientBoosting,0.9890039373376895,0,0,0,1
oocytes_trisopterus_states_5b,RandomForest,0.9133849756800576,0,1,0,0
breast-cancer-wisc-diag,SVC,0.9719298245614034,1,0,0,0
pima,SVC,0.7695611577964518,1,0,0,0
tic-tac-toe,RandomForest,0.9916284904013961,0,1,0,0
pendigits,SVC,0.9943594180661985,1,0,0,0
conn-bench-sonar-mines-rocks,SVC,0.8656213704994192,1,0,0,0
flags,RandomForest,0.6962159863945578,0,1,0,0
soybean,SVC,0.9400171747531129,1,0,0,0
statlog-shuttle,RandomForest,0.9998620689655173,0,1,0,0
molec-biol-splice,GradientBoosting,0.9601880877742947,0,0,0,1
horse-colic,RandomForest,0.8747871158830064,0,1,0,0
heart-switzerland,RandomForest,0.4066666666666666,0,1,0,0
ozone,SVC,0.9712148037708304,1,0,0,0
congressional-voting,SVC,0.6160919540229886,1,0,0,0
mushroom,SVC,1.0,1,0,0,0
abalone,SVC,0.6653055611265508,1,0,0,0
libras,RandomForest,0.8527777777777779,0,1,0,0
statlog-image,RandomForest,0.9805194805194806,0,1,0,0
magic,RandomForest,0.8794426919032597,0,1,0,0
iris,SVC,0.9533333333333334,1,0,0,0
credit-approval,GradientBoosting,0.872463768115942,0,0,0,1
spect,SVC,0.6943396226415094,1,0,0,0
ilpd-indian-liver,SVC,0.7118479221927498,1,0,0,0
cardiotocography-3clases,GradientBoosting,0.9496713615023473,0,0,0,1
ringnorm,SVC,0.985,1,0,0,0
bank,RandomForest,0.9022326798024739,0,1,0,0
primary-tumor,SVC,0.45757575757575764,1,0,0,0
haberman-survival,SVC,0.7385510312004231,1,0,0,0
page-blocks,RandomForest,0.9735076340019868,0,1,0,0
post-operative,SVC,0.7,1,0,0,0
plant-shape,RandomForest,0.6325,0,1,0,0
monks-1,GradientBoosting,0.9765765765765766,0,0,0,1
fertility,RandomForest,0.89,0,1,0,0
spectf,RandomForest,0.8650593990216631,0,1,0,0
heart-hungarian,SVC,0.8133255406195208,1,0,0,0
breast-cancer,SVC,0.7308529945553539,1,0,0,0
heart-va,RandomForest,0.395,0,1,0,0
energy-y1,GradientBoosting,0.9699685934980053,0,0,0,1
statlog-australian-credit,SVC,0.672463768115942,1,0,0,0
conn-bench-vowel-deterding,RandomForest,0.9868686868686869,0,1,0,0
planning,SVC,0.71996996996997,1,0,0,0
annealing,RandomForest,0.959925512104283,0,1,0,0
lung-cancer,RandomForest,0.6238095238095238,0,1,0,0
molec-biol-promoter,RandomForest,0.8956709956709956,0,1,0,0
semeion,SVC,0.9516669624021608,1,0,0,0
statlog-vehicle,SVC,0.7636477549599722,1,0,0,0
lymphography,RandomForest,0.7837837837837838,0,1,0,0
cardiotocography-10clases,RandomForest,0.8772427506213752,0,1,0,0
pittsburg-bridges-T-OR-D,SVC,0.8628571428571428,1,0,0,0
letter,RandomForest,0.96355,0,1,0,0
echocardiogram,SVC,0.8239316239316239,1,0,0,0
statlog-landsat,RandomForest,0.9135975135975137,0,1,0,0
wine,SVC,0.9828571428571429,1,0,0,0
oocytes_trisopterus_nucleus_2f,RandomForest,0.8146580195760522,0,1,0,0
audiology-std,RandomForest,0.7551020408163265,0,1,0,0
blood,SVC,0.7807785234899328,1,0,0,0
hill-valley,RandomForest,0.5445906880250314,0,1,0,0
statlog-heart,RandomForest,0.8296296296296296,0,1,0,0
oocytes_merluccius_states_2f,RandomForest,0.9246341463414633,0,1,0,0
musk-2,RandomForest,0.9763566292186459,0,1,0,0
contrac,GradientBoosting,0.5499365848034129,0,0,0,1
pittsburg-bridges-TYPE,SVC,0.5523809523809524,1,0,0,0
glass,RandomForest,0.7898117386489479,0,1,0,0
pittsburg-bridges-SPAN,SVC,0.6853801169590643,1,0,0,0
breast-cancer-wisc-prog,GradientBoosting,0.7928205128205128,0,0,0,1
spambase,RandomForest,0.9526186092621443,0,1,0,0
optical,SVC,0.9861209964412812,1,0,0,0
chess-krvk,DecisionTree,0.8400695774629637,0,0,1,0
breast-tissue,RandomForest,0.7069264069264068,0,1,0,0
zoo,GradientBoosting,0.9803846153846154,0,0,0,1
seeds,RandomForest,0.9428571428571428,0,1,0,0
wall-following,GradientBoosting,0.9974340508254349,0,0,0,1
parkinsons,RandomForest,0.8923076923076924,0,1,0,0
miniboone,RandomForest,0.9355778545035907,0,1,0,0
teaching,RandomForest,0.6952688172043011,0,1,0,0
ecoli,SVC,0.8809523809523809,1,0,0,0
mammographic,GradientBoosting,0.8251781088082902,0,0,0,1
vertebral-column-2clases,SVC,0.8483870967741934,1,0,0,0
titanic,RandomForest,0.7905452484023913,0,1,0,0
twonorm,SVC,0.9772972972972973,1,0,0,0
plant-texture,SVC,0.8255074451410659,1,0,0,0
wine-quality-white,RandomForest,0.6812997435950887,0,1,0,0
breast-cancer-wisc,RandomForest,0.96568345323741,0,1,0,0
steel-plates,GradientBoosting,0.791340471205576,0,0,0,1
acute-inflammation,SVC,1.0,1,0,0,0
thyroid,GradientBoosting,0.9956944444444444,0,0,0,1
monks-3,GradientBoosting,0.9801310401310401,0,0,0,1
nursery,GradientBoosting,0.9926697530864197,0,0,0,1
oocytes_merluccius_nucleus_4d,GradientBoosting,0.8033285509325682,0,0,0,1
energy-y2,GradientBoosting,0.936236312706901,0,0,0,1
adult,GradientBoosting,0.8662011528553653,0,0,0,1
arrhythmia,RandomForest,0.7079646017699115,0,1,0,0
monks-2,DecisionTree,0.8653443526170801,0,0,1,0
connect-4,RandomForest,0.8728481362838402,0,1,0,0
waveform,SVC,0.8620000000000001,1,0,0,0
heart-cleveland,RandomForest,0.6004918032786886,0,1,0,0
image-segmentation,RandomForest,0.9792207792207792,0,1,0,0
vertebral-column-3clases,RandomForest,0.832258064516129,0,1,0,0
led-display,SVC,0.716,1,0,0,0
yeast,RandomForest,0.6064746564746565,0,1,0,0
dermatology,SVC,0.9808959644576083,1,0,0,0
lenses,RandomForest,0.875,0,1,0,0
plant-margin,RandomForest,0.8393749999999999,0,1,0,0
hepatitis,SVC,0.8258064516129032,1,0,0,0
pittsburg-bridges-REL-L,GradientBoosting,0.7195238095238096,0,0,0,1
waveform-noise,SVC,0.8622,1,0,0,0
wine-quality-red,RandomForest,0.6854310344827585,0,1,0,0
hayes-roth,SVC,0.85,1,0,0,0
